index,Month,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
1,JAN,340,360,417,449,488,526,565,603,642,680,719,757,796,834,873,911,950,988,1027,1065,1104,1142
2,FEB,318,342,391,423,460,496,533,569,606,642,679,715,752,788,825,861,898,934,971,1007,1044,1080
3,MAR,362,406,419,453,481,510,538,567,595,624,652,681,709,738,766,795,823,852,880,909,937,966
4,APR,348,396,461,515,571,628,684,741,797,854,910,967,1023,1080,1136,1193,1249,1306,1362,1419,1475,1532
5,MAY,363,420,472,527,582,636,691,745,800,854,909,963,1018,1072,1127,1181,1236,1290,1345,1399,1454,1508
6,JUN,435,472,535,581,631,681,731,781,831,881,931,981,1031,1081,1131,1181,1231,1281,1331,1381,1431,1481
7,JUL,491,548,622,685,750,816,881,947,1012,1078,1143,1209,1274,1340,1405,1471,1536,1602,1667,1733,1798,1864
8,AUG,505,559,606,658,708,759,809,860,910,961,1011,1062,1112,1163,1213,1264,1314,1365,1415,1466,1516,1567
9,SEP,404,463,508,562,614,666,718,770,822,874,926,978,1030,1082,1134,1186,1238,1290,1342,1394,1446,1498
10,OCT,359,407,461,511,562,613,664,715,766,817,868,919,970,1021,1072,1123,1174,1225,1276,1327,1378,1429
11,NOV,310,362,390,434,474,514,554,594,634,674,714,754,794,834,874,914,954,994,1034,1074,1114,1154
12,DEC,337,405,432,486,534,581,629,676,724,771,819,866,914,961,1009,1056,1104,1151,1199,1246,1294,1341
13,JAN,395,463,503,561,615,668,722,776,830,883,937,991,1044,1098,1152,1205,1259,1313,1367,1420,1474,1528
14,FEB,398,468,507,567,621,676,731,785,840,895,949,1004,1059,1113,1168,1222,1277,1332,1386,1441,1496,1550
15,MAR,400,473,511,573,628,684,739,795,850,906,962,1017,1073,1128,1184,1239,1295,1351,1406,1462,1517,1573
16,APR,402,478,515,578,635,691,748,804,861,917,974,1030,1087,1143,1200,1257,1313,1370,1426,1483,1539,1596
17,MAY,404,484,519,584,642,699,756,814,871,929,986,1044,1101,1159,1216,1274,1331,1388,1446,1503,1561,1618
18,JUN,407,489,523,590,648,707,765,823,882,940,999,1057,1115,1174,1232,1291,1349,1407,1466,1524,1583,1641
19,JUL,409,494,527,596,655,714,774,833,892,952,1011,1070,1130,1189,1248,1308,1367,1426,1486,1545,1604,1664
20,AUG,411,500,532,601,662,722,782,842,903,963,1023,1084,1144,1204,1264,1325,1385,1445,1506,1566,1626,1686
21,SEP,413,505,536,607,668,729,791,852,913,974,1036,1097,1158,1219,1280,1342,1403,1464,1525,1587,1648,1709
22,OCT,415,510,540,613,675,737,799,861,924,986,1048,1110,1172,1234,1297,1359,1421,1483,1545,1607,1670,1732
23,NOV,418,515,544,619,682,745,808,871,934,997,1060,1123,1186,1250,1313,1376,1439,1502,1565,1628,1691,1754
24,DEC,420,521,548,624,688,752,816,880,945,1009,1073,1137,1201,1265,1329,1393,1457,1521,1585,1649,1713,1777
